"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "JavaScript JSX", "SVG", "CSS", "SCSS", "comment", "blank", "total"
"d:\Kaisen 2023\kaizen-admin\src\pages\participant\Participant.jsx", "JavaScript JSX", 0, 0, 0, 0, 121, 0, 0, 0, 23, 27, 171
"d:\Kaisen 2023\kaizen-admin\src\pages\verify\Verify.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"d:\Kaisen 2023\kaizen-admin\tailwind.config.cjs", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 1, 0, 11
"d:\Kaisen 2023\kaizen-admin\vercel.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\Kaisen 2023\kaizen-admin\vite.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"d:\Kaisen 2023\rzrpay-backend\index.js", "JavaScript", 0, 0, 0, 195, 0, 0, 0, 0, 15, 30, 240
"d:\Kaisen 2023\rzrpay-backend\package-lock.json", "JSON", 0, 2729, 0, 0, 0, 0, 0, 0, 0, 1, 2730
"d:\Kaisen 2023\rzrpay-backend\package.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\Kaisen 2023\rzrpay-backend\vercel.json", "JSON", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"Total", "-", 1, 15931, 83, 583, 6236, 17, 937, 921, 313, 1196, 26218
